timestamp,speaker,text
00:00:00,Speaker A,"First meeting, we will be meeting daily. We'll try 10:30, see if that works. The last 30 days we started at 10:30. By the end of it, we were only doing a quarter of 11. So, three things on the agenda: we're gonna hear a little bit from our new secretary and welcome her. We're gonna hear from our chief clerk because we've got just a few little things that we have to approve. The good news is we're gonna increase our franking privileges to match the increase in the postage. Then, we are going to deal with the three bills that were read out today"
00:00:57,Speaker B,"on the floor, and then we will pass a new committee list. All right, so let's hear from Lauren. I will model. I'm going to turn this off so she can turn hers on. All righty, hello, everyone. Thanks for having me. I'm Lauren. Lauren Hund."
00:01:21,Speaker A,"I have a weird background. I have a PhD in static. And then I'm. And then I got tired of being a statistician, so I became an attorney and worked as an attorney for a little while. And I'm in between practice areas, and it coincided with the session. So it's my first session. Happy to be here. So the great thing about Lauren is that she is an attorney. The issue of germaneness really is a legal issue."
00:02:03,Speaker C,"The way we do this is that the day before we meet, Lauren, Lorraine Montoya, attorney, Sanders Moore, and Dennis Roche, our chiefs, will meet together to look to see if it's easy to put the bills that"
00:02:22,Speaker D,are germane in one pile
00:02:24,Speaker C,and those that aren't in another. There may be a middle that we have to talk about. So that's the way it's going to work. So let's
00:02:37,Speaker D,now hear from Sherry. About
00:02:39,Speaker C,"our budget and our frank. Thank you, Madam Chair. So, last year there was an increase in 1st, so we increased the allotment for postage 5,550, which is paid"
00:02:54,Speaker D,"by LCS. And so, your pieces of mail"
00:02:57,Speaker E,"would be$8,500. So, that's great. Also, for the budget in 2024, the total budget for the Senate was 2823750."
00:03:06,Speaker D,"This year, it's down to 2462600. And the"
00:03:09,Speaker E,"reason why it's lower is because that very first year, we did not"
00:03:15,Speaker D,know what we were going
00:03:16,Speaker A,"to be facing. So, we budgeted at the max. This time, we budgeted"
00:03:22,Speaker D,kind of middle part. We
00:03:24,Speaker A,"did give in this budget give staff theirselves. Move to approve You'll probably be legal right now. You can just sit there. Look your usual beautifulness. Okay, so let's talk about those three bills. We"
00:03:42,Speaker D,have messages from the governor
00:03:43,Speaker B,"for Senate Bill 1, 2, and 3. Is that correct? I'm going to turn this over to you, Lauren, just tell"
00:03:54,Speaker E,us about the messages from
00:03:55,Speaker D,"1, 2, and 3. Yeah, so I have"
00:03:58,Speaker E,"the messages with me if anybody wants to see them,"
00:04:03,Speaker D,"but it's messages 1, 2,"
00:04:04,Speaker F,"and 3, which correspond to Senate Bills 1, 2, and"
00:04:09,Speaker D,"3 by their numbers. Madam Pro Chem, could"
00:04:12,Speaker A,"we explain it further? Just well, so we'll pass the messages around so you can look at them. Senate Bill 1 is the medical compact. The governor, we read out the message today on the floor. Senate Bill 2 is the road bonding package. That message from the governor to approval of that was read on the floor. And Senate Bill 3 is the issue of the harm to self and others. I"
00:04:51,Speaker D,don't know some should have
00:04:52,Speaker G,"a better title, but that's the one that they keep using. And so we read the message from the governor on that on the floor. That answer your question. Yeah. Everybody, that the governor's messages all contain a specific bill"
00:05:13,Speaker A,"number. So all of the efforts. Years past where we kind of tried to figure out whether the message imported with a given bill or something like that, it's going to be looks like it's going to be"
