timestamp,speaker,text
00:00:00,Speaker A,"And finance. We're going to ask our excellent staff to call the roll and then we'll go straight into our first hearing and presentation. Bijan, please. Representative Baca."
00:00:10,Speaker B,"Representative Brown. Representative Chatfield. Representative Dow. Representative Duncan. Representative Garrett. Representative Hernandez. Here. Representative Herndon. Here. Representative Heda. Representative Little. Representative Lujan. Here. Representative Pettigrew? Here. Representative Sanchez? Here. Representative Salinana? Here. Representative Silva? Here. Representative Vincent? Here. Vice Chair Dixon? Here. Chair Small? I am here. Okay, great. Members, so we're going to go to a brief child care brief. This is an update from LFC. Members, this is just meant to inform the presentation. We're not going to dive into questions on this. Do encourage everybody, obviously, and excited for all of the stakeholders who are. Here today, and folks who may be watching online to tune in. And we'll turn over to Dr. Allegra Hernandez to kick us off. Thank you so much, Mr. Chair. Good afternoon, Mr. Chair, members of the committee. My name is Dr. Allegra Hernandez, and today I will be discussing the early childhood bullets brief, which looks like this. So, to go ahead and get started, as you can see on the chart on the left-hand side, you all as the legislature have invested"
00:01:27,Speaker A,"significant amounts of money in early childhood, where in FY12 it was right around$200 million, and in FY26, the early childhood budget is around$918 million now. So, the bulk of these increases were allocated to child care assistance and pre-kindergarten. And current funding levels are sufficient to ensure all levels of the city. Income three and four year olds in New Mexico have access to early childhood programs through child care assistance, pre-kindergarten, or Head Start. Each of these programs that I'm going to focus primarily on pre-K and child care assistance today, but on the last page, you have some"
00:02:09,Speaker C,"bullets about fit and home visiting. And each of these programs really are a tool in your toolkit to try and get to achieve different outcomes. And so, with that, I'll go ahead and move to pre-kindergarten. And pre-kindergarten in New Mexico was created in 2005 through the Pre-Kindergarten Act, and it serves three and four-year-olds. In the 2024 to 2025 school year, almost 15,000 children were enrolled. This is about 10 times the amount of children enrolled in the inaugural class in 2005. And pre-kindergarten has shown really good outcomes for children in the state. So, LFC research shows that children who participate in pre-kindergarten were on the first page here, that it has positive outcomes, including preparedness for elementary school. So, in looking at literacy and math rates, pre-kindergarten really is the tool that you want to use if you're concerned about accessing ensuring that students are adequately prepared for kindergarten. And additionally, it leads to higher graduation, higher high school graduation rates. And this is especially true for lower-income students who qualify for free and reduced meals. So, with that, we'll go ahead and turn to page two and get to the meat of it and focus on child care assistance. So really child care assistance is in prior to November 1st, child care assistance was limited to any family who"
00:03:43,Speaker B,made below 400% of the federal poverty
00:03:45,Speaker C,"level, which for a family of four is$127,000. Then as of November 1st, 2025, the governor and ECECD announced that regardless of income, any child in the state would be eligible for child care assistance. And one thing to keep in mind is that they're doing this currently with the existing FY26 budget of$450 million, but LSC staff estimate that the cost is going to be around$850 million annually. This is a$400 million increase or an 88.8% increase. As of July, 2025, the state has 74,000 licensed and registered capacity slots and serves 31,000 children with child care assistance. Since the creation of the expanded eligibility of early childhood, there have ECECD has lost 60 slots for children under two as of December, but they have added a thousand new slots overall. And so, this is one thing to keep in mind. And if you look in volume three on page 84, wait, I apologize. I'm so sorry. On page 89, actually, what you'll see is that capacity for our lowest, our youngest children has declined pretty significantly over time. So, if you look at FY19 in January, 15.4%"
00:05:04,Speaker B,of all enrollment in child care assistance
00:05:06,Speaker C,"was for children under the age of two. And this is in volume three on page 89. If you look in January 2025, it sits at 11.6. So we've seen a pretty big reduction in slots for under two-year-olds. And moreover, what I really want to spend the time discussing today is this chart right here, which you can find on page two. And so the red lines are every time that the state has expanded child care assistance. And as you can see, if we follow the blue line, which is for families at or below 100% of the federal poverty level, which to put that in terms for you all, a family of four would make less"
00:05:55,Speaker B,"than$32,000 a year to be under 100%"
00:05:57,Speaker C,"of the federal poverty level. So with that, what you can see slowly as you follow the trend line is that every time there's an expansion, the blue line decreases both in proportion and number. And so what this means is that every time there's an expansion, the state begins to serve less of our poorest and at-risk families in order to serve higher income families. And so there are a few things that the state is able to do to leverage this to ensure that by expanding to universal that we are that the state is not"
00:06:37,Speaker B,crowding out our lowest income families. And
00:06:39,Speaker C,"in order to do that, one thing that you can do is looking at tiered eligibility. In ECECD's recs right or regulations right now, excuse me, there's a tiered eligibility system that is not being implemented in which families who are lowest income should be served first, families who are part of TANF. And then it goes and increases slowly through income eligibility. And so this is an option at play. And there are several states that have instituted waiting lists. And this includes Arizona, Arkansas, Indiana, and Virginia. So you can see that it's not necessarily a partisan issue in terms of waiting lists, but it's really just a practice that some states have included. Another option is looking at co-pays. So according to federal regulations, no more than 7% of a family's income should be used for co-pays. LFC staff estimate that if you started co-pays at a sliding scale for$250 million, for 250% above the federal poverty level, that the state would save approximately$11.4 billion. And so this is one option to the legislature in order to save. And in order to get family buy-in as well in the program. And so, with that, the last thing that I want to discuss really briefly is that child care assistance since 2013, according to LFC research, does not improve educational outcomes for children. So, what this means is that if you participate, and this is both causally and correlationally, if you participate in child care assistance, you are not any more likely to succeed in kindergarten or any grade above that than if you did not participate in child care assistance. And so, with that, I am happy to answer any questions. And thank you so much. Thank you very much, Dr. Hernandez. In the interest of time, we're not going to do questions here. Thank you for this presentation, members. We have this. Thank you also for the reference to volume three. And we'll certainly continue to work closely with you and our LSC staff. Madam Secretary. Great to see you. Thank you very much for being here. Thanks to your team. We'll go ahead and invite the Secretary, Ms. Dinsmore and Deputy Director Kelly. Good afternoon, Mr. Chair. Kelly Flunt, Legislative Finance Committee. And with me today is Secretary Griginski of the Early Childhood Education and Care Department, which we are just going to say ECCD for the rest of the hearing. I'm not sure which one is easier, but I also have my esteemed colleague, Mary Beth Densmore with Department of Finance Administration. And with that, we're going to start with the Early Child Education Budget, which is Agency Code 611. And your packet is going to look like this. It's going to have a quick fact on the first page. And you're all aware of, you know, that's kind of a good. Reference of what's been happening with spending and performance and audits over the previous fiscal years. I'm just making sure everybody kind of gets to their page before I start too quickly. Looks like I just need a minute. Everybody good? Okay. And then what I want to start with is let's just talk through the high level together. I think it's a good overall presentation of what the differences are. It's a big number difference, but it's only on a couple key policy decisions. And so we'll be able to kind of go"
00:10:42,Speaker A,"through this. We'll, of course, go through it by program, but this is kind of an easy overview for everyone. So we're looking at page four. Page four is the high level. It looks like this table with the yellow highlights. And this is a representation of the state general fund for ECCD. It also has two lower tables, which represent the Early Care and Education Trust. Fund and the"
00:11:10,Speaker B,"permanent school fund distribution, which voters voted"
00:11:12,Speaker A,"upon, and you all are aware of. And so, this"
00:11:15,Speaker B,high level shows those three major revenue sources and what the change is between the current fiscal year and the request
00:11:22,Speaker D,"or the recommendations between the DFA and the LFC for the coming fiscal year. And so, what you'll notice is if you look down on line 52, that first big table, the executive recommendation adds$163 million of state general fund or a 54% increase above the current operating budget. The LFC recommendation right next to that you'll see is a little bit different. It's only$13.7 million or about a 4.5% difference. So, you know, real close there. Sorry, all jokes aside. So, what we're talking about here mostly is this universal child care recommendation. That's the big Kind of policy discussion financially in front of you guys this"
00:12:07,Speaker B,year. And you can see where that's
